# CloudSat scaling coefficients for ERA5, by quadrant
# From Cabaj et al, 2020 (https://doi.org/10.1029/2019GL086426)
time,q1,q2,q3,q4
1,1.060293522912904,0.7382571969665216,0.8103493259565387,0.7896589870378851
2,1.0762221635777778,0.7122285225712186,0.8150154809893299,0.8652405821481262
3,1.0236977901657345,0.8328108548700558,0.9538131321111615,0.8740088827209597
4,1.1687015899387476,0.9918087556162614,0.9104949085487778,1.0182081549824518
5,1.1189952968306918,0.9226762452200599,0.869241815821426,0.9358067763132887
6,0.8184741596567204,0.7490480514918358,0.701676001412152,0.7123535927171678
7,0.5751922853125103,0.6492464558872253,0.5348849732076153,0.5087733129341624
8,0.8241129686414009,0.7978660686231238,0.5835160106998903,0.7374818490367483
9,1.3137076757561033,1.1070560229280997,0.8431898900714523,0.9649156762446425
10,1.2122283777628744,0.985364155785734,1.0066753143076257,0.992556476993497
11,1.1461909267740622,0.8430015970493562,0.8366389379678754,0.989035554563648
12,1.0356506891040158,0.7881889936051263,0.8370270336506445,0.8161758116911807
