# CloudSat scaling coefficients for MERRA-2, by quadrant
# From Cabaj et al, 2020 (https://doi.org/10.1029/2019GL086426)
time,q1,q2,q3,q4
1,1.3548660462033548,0.7378416571057232,0.7510388464716077,0.8332514268431276
2,1.4104015087735409,0.7012272640657693,0.73720097831793,0.8956725148701834
3,1.3443320028619532,0.791303990922451,0.8031917463046755,0.8509063441830453
4,1.455831594863805,0.9225348083851462,0.8138440988734664,0.9248830572337765
5,1.2126651082323892,0.8408247008312321,0.7162911004163703,0.79715408566486
6,0.692450840731259,0.4806949275032594,0.4584232521770991,0.45616667863465166
7,0.3860679900477772,0.3054597293543814,0.29380874795457274,0.28847136915584903
8,0.7447740134329355,0.5201810936252058,0.3575540115775413,0.5196813150284907
9,1.2898443317275796,1.0150170661775428,0.7323826062264863,0.9658807451501825
10,1.5219569843814678,1.0911872517304582,1.0562439221642832,1.0764182478981672
11,1.5525629090319655,0.927104546757025,0.8942713093582116,1.1146908857124445
12,1.3980116929026831,0.8427455470679995,0.8371003616296943,0.9108515231176114
