# CloudSat scaling coefficients for ERA-Interim, by quadrant
# From Cabaj et al, 2020 (https://doi.org/10.1029/2019GL086426)
time,q1,q2,q3,q4
1,1.6421357927752347,0.9245536183143521,1.0197245538130488,1.0319791807329375
2,1.6495404536576783,0.8967796684726423,1.01459823056236,1.1112506197155805
3,1.558203497313757,1.0286536082286337,1.1593730230345058,1.156285294022565
4,1.9548984206041788,1.3926867946150085,1.2576359654130618,1.4056428857247802
5,2.213842363366486,1.4858906249489463,1.572267989180407,1.5516490393069755
6,2.003442587791869,1.6758210987771,1.7422944280321864,1.604883476991594
7,1.8872086782952202,2.2396271704467843,1.8926992067081976,1.4883203353729995
8,2.021621045196716,1.9439997122004333,1.5983510904637703,1.684604086943631
9,2.644576150740683,1.9881952231619728,1.4898444280868333,1.7073516199817407
10,2.1661645054669476,1.3949525748356861,1.4725422902546421,1.4671596559769648
11,1.9188174321559788,1.1215487887724258,1.1151056379555402,1.3543487688796263
12,1.6166363783829336,1.0114778176666164,1.1074470605268611,1.0773328962699573
